Exercise|Percent1RM|Reps|Timestamp
1|50|5|04/02/2020 16:00
1|60|5|04/02/2020 16:03
1|70|4|04/02/2020 16:06
1|70|4|04/02/2020 16:09
1|75|3|04/02/2020 16:12
1|75|3|04/02/2020 16:15
1|80|2|04/02/2020 16:18
1|80|2|04/02/2020 16:21
1|75|3|04/02/2020 16:24
1|75|3|04/02/2020 16:27
1|70|4|04/02/2020 16:30
1|60|5|04/02/2020 16:33
1|50|6|04/02/2020 16:36
1|50|5|04/04/2020 16:00
1|60|4|04/04/2020 16:03
1|70|3|04/04/2020 16:06
1|70|3|04/04/2020 16:09
1|80|2|04/04/2020 16:12
1|80|2|04/04/2020 16:15
1|80|2|04/04/2020 16:18
1|80|2|04/04/2020 16:21
1|80|2|04/04/2020 16:24
1|50|5|04/07/2020 16:00
1|70|3|04/07/2020 16:03
1|70|3|04/07/2020 16:06
1|70|3|04/07/2020 16:09
1|75|3|04/07/2020 16:12
1|75|3|04/07/2020 16:15
1|75|3|04/07/2020 16:18
1|75|3|04/07/2020 16:21
1|75|3|04/07/2020 16:24
1|50|5|04/07/2020 16:27
1|60|5|04/07/2020 16:30
1|70|4|04/07/2020 16:33
1|70|4|04/07/2020 16:36
1|70|4|04/07/2020 16:39
1|70|4|04/07/2020 16:42
1|50|5|04/09/2020 16:00
1|60|5|04/09/2020 16:03
1|70|4|04/09/2020 16:06
1|70|4|04/09/2020 16:09
1|75|3|04/09/2020 16:12
1|75|3|04/09/2020 16:15
1|80|2|04/09/2020 16:18
1|80|2|04/09/2020 16:21
1|75|3|04/09/2020 16:24
1|75|3|04/09/2020 16:27
1|70|4|04/09/2020 16:30
1|60|5|04/09/2020 16:33
1|50|6|04/09/2020 16:36
1|50|5|04/11/2020 16:00
1|60|4|04/11/2020 16:03
1|70|3|04/11/2020 16:06
1|70|3|04/11/2020 16:09
1|80|2|04/11/2020 16:12
1|80|2|04/11/2020 16:15
1|80|2|04/11/2020 16:18
1|80|2|04/11/2020 16:21
1|80|2|04/11/2020 16:24
